АВС/ DEF;От;До;Емкость;Оператор;Регион
912;4200000;4399999;200000;ПАО "Мобильные ТелеСистемы";Ямало-Ненецкий АО
912;4400000;4699999;300000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;4700000;4799999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;4800000;4999999;200000;ПАО "Мобильные ТелеСистемы";Пермский край
912;5000000;5099999;100000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;5100000;5199999;100000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;5200000;5299999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;5300000;5399999;100000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;5400000;5699999;300000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;5700000;5799999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;5800000;5999999;200000;ПАО "Мобильные ТелеСистемы";Пермский край
912;6000000;6999999;1000000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;7000000;7399999;400000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;7400000;7699999;300000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;7700000;7799999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;7800000;7899999;100000;ПАО "Мобильные ТелеСистемы";Пермский край
912;7900000;8099999;200000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;8100000;8199999;100000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;8200000;8299999;100000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;8300000;8399999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;8400000;8499999;100000;ПАО "Мобильные ТелеСистемы";Оренбургская обл.
912;8500000;8599999;100000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;8600000;8699999;100000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;8700000;8799999;100000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;8800000;8899999;100000;ПАО "Мобильные ТелеСистемы";Пермский край
912;8900000;8999999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;9000000;9099999;100000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;9100000;9199999;100000;ПАО "Мобильные ТелеСистемы";Ямало-Ненецкий АО
912;9200000;9299999;100000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;9300000;9399999;100000;ПАО "Мобильные ТелеСистемы";Ханты - Мансийский - Югра АО
912;9400000;9699999;300000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;9700000;9799999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;9800000;9899999;100000;ПАО "Мобильные ТелеСистемы";Пермский край
912;9900000;9999999;100000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
913;0000000;0199999;200000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;0200000;0299999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;0300000;0499999;200000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;0500000;0599999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия
913;0600000;0699999;100000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;0700000;0799999;100000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;0800000;0999999;200000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;1000000;1199999;200000;ПАО "Мобильные ТелеСистемы";Томская обл.
913;1200000;1399999;200000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;1400000;1599999;200000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;1600000;1999999;400000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;2000000;2099999;100000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;2100000;2799999;700000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;2800000;3399999;600000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;3400000;3599999;200000;ПАО "Мобильные ТелеСистемы";Республика Тыва
913;3600000;3699999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;3700000;3999999;300000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;4000000;4399999;400000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;4400000;4499999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия
913;4500000;4899999;400000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;4900000;5399999;500000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;5400000;5499999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия
913;5500000;5999999;500000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;6000000;6899999;900000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;6900000;6999999;100000;ПАО "Мобильные ТелеСистемы";Республика Алтай
913;7000000;7999999;1000000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;8000000;8299999;300000;ПАО "Мобильные ТелеСистемы";Томская обл.
913;8300000;8399999;100000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;8400000;8899999;500000;ПАО "Мобильные ТелеСистемы";Томская обл.
913;8900000;9599999;700000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;9600000;9799999;200000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;9800000;9879999;80000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;9880000;9889999;10000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;9890000;9899999;10000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;9900000;9999999;100000;ПАО "Мобильные ТелеСистемы";Республика Алтай
914;0000000;0149999;150000;ПАО "Мобильные ТелеСистемы";Иркутская обл.
914;0150000;0199999;50000;ПАО "Мобильные ТелеСистемы";Еврейская автономная обл.
914;0200000;0299999;100000;ПАО "Мобильные ТелеСистемы";Камчатский край
914;0300000;0399999;100000;ПАО "Мобильные ТелеСистемы";Магаданская обл.
914;0400000;0499999;100000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;0500000;0599999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия
914;0600000;0649999;50000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;0650000;0799999;150000;ПАО "Мобильные ТелеСистемы";Приморский край
914;0800000;0829999;30000;ПАО "Мобильные ТелеСистемы";Чукотский АО
914;0830000;0999999;170000;ПАО "Мобильные ТелеСистемы";Сахалинская обл.
914;1000000;1199999;200000;ПАО "Мобильные ТелеСистемы";Республика Саха /Якутия/
